Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,DaySinceLastOrder,CashbackAmount,Churn
6,1,7,1,4,4,4,2,1,2,0,13,1,3,148,0
1,3,11,1,3,5,2,5,0,3,0,13,2,4,168,0
23,1,7,0,3,4,4,5,0,4,0,17,2,3,161,0
1,1,11,1,3,5,4,2,0,2,0,18,1,5,157,0
6,3,12,1,3,4,2,4,0,3,0,15,3,4,190,0
12,3,16,1,4,5,4,4,0,2,0,20,1,3,154,0
16,1,10,0,4,2,2,2,0,4,1,14,1,4,177,0
5,1,18,1,3,4,4,2,0,5,1,20,2,3,149,0
1,3,7,0,3,5,4,3,1,8,1,20,1,3,153,1
27,3,15,1,4,4,1,2,0,7,0,15,1,3,243,0
9,1,32,1,4,5,0,4,0,5,0,17,4,9,234,0
11,3,28,0,3,4,4,2,0,7,0,16,2,1,155,0
27,1,30,0,4,4,1,2,2,8,0,19,6.4,9,268,0
17,1,7,0,3,4,2,2,0,6,0,14,2,3,181,0
21,3,9,0,3,4,2,2,0,2,1,23,6,8,170,0
11,3,26,1,3,4,0,4,2,3,1,14,1,10,201,0
24,1,9,1,4,4,1,5,1,3,0,14.6,14,8,304,0
13,2,9,0,3,5,2,2,0,10,0,12,1,5,177,0
7,2,10,1,3,4,4,4,1,5,1,12,1,4,148,0
1,1,32,1,3,4,4,2,2,3,1,25,2,2,153,1
3,1,14,0,4,5,4,2,1,8,0,15,2,4,150,0
18,1,16,1,4,4,4,5,0,3,1,14,3,2,151,0
2,3,12,1,4,4,2,2,2,3,0,15,2,3,174,0
21,1,9,1,3,5,4,2,1,11,1,15,1,1,149,1
17,1,15,0,3,4,2,4,1,6,0,22,2,1,173,0
1,3,9,0,3,5,4,3,2,3,0,14,1,3,145,1
1,1,25,0,4,4,4,2,2,3,0,20,2,1,152,1
10,1,21,1,4,4,2,2,0,2,1,18,5,12,191,0
21,3,9,0,4,5,4,2,2,3,1,19,2,3,158,0
1,1,10,0,3,4,2,3,0,2,1,20,2,3,167,1
5,1,9,0,3,6,4,2,1,6,1,14,1,1,153,1
2,1,16,0,4,4,4,3,1,7,0,19,3,3,149,0
3,1,13,1,4,4,4,5,0,9,1,22,2,3,149,1
1,1,11,0,4,4,4,3,2,3,0,20,2,1,148,0
8,1,17,1,3,4,4,4,1,3,0,15,2,1,145,0
16,3,21,0,4,5,2,3,2,9,0,18,1,4,187,0
7,1,7,1,4,5,4,5,2,5,1,12,1,3,153,0
31,1,12,0,3,5,0,4,1,4,1,14,2,1.8,231,0
5,3,14,1,3,5,4,3,0,5,0,16,4,3,148,0
9,1,28,0,3,4,2,2,0,3,1,26,1,8,165,0
23,1,15,0,3,4,0,4,0,6,0,12,1,8,199,0
22,1,27,1,3,4,4,3,0,6,0,18,1,1,148,0
5,3,27,0,3,4,2,3,0,3,0,14,2,1,194,0
10,1,14,1,4,4,4,2,2,4,0,19,1,2,172,0
12,1,7,0,4,4,0,5,0,3,0,14,4,12,261,0
6,1,7,0,4,5,4,4,0,8,0,21,2,3,148,0
1,3,26,1,3,5,4,4,0,3,1,19,1,1,149,1
14,3,17,1,4,5,0,4,1,4,0,13,2,6.6,222,0
1,3,7,1,3,5,2,5,2,3,0,13,2,8,168,0
15,1,13,1,3,4,4,5,2,4,1,14,2,18,172,0
10,1,9,1,4,4,4,3,2,6,0,22,3,10,150,0
1,3,28,1,3,5,4,4,2,3,1,14,1,1,146,1
1,1,11,1,3,4,4,5,2,3,0,20,2,1,155,1
5,1,19,0,3,4,2,2,0,2,1,12,1,6,184,0
14,1,16,1,3,4,4,4,1,10,1,15,1,1,161,0
6,1,10,0,4,4,2,5,0,3,0,13,7,4,192,0
1,3,10,1,3,5,0,2,0,3,1,12,4,7.6,228,1
7,1,7,0,3,5,2,2,2,2,0,15,1,5,194,0
1,3,7,1,3,5,0,3,0,7,0,12,2,6,231,1
19,1,11,1,3,4,2,4,0,3,0,13,2,9,169,0
3,3,27,0,3,4,4,2,0,3,0,16,1,3,147,0
9,3,25,0,3,4,2,3,0,3,0,17,2,1,171,0
26,1,7,1,4,4,1,2,0,4,0,13.2,8,9,296,0
21,1,9,1,3,4,4,3,2,6,0,25,2,1,150,1
27,3,9,1,3,4,1,3,1,8,0,14,1.8,3,274,0
4,3,15,1,4,4,0,3,1,7,0,12,5,8,198,0
12,3,17,0,3,4,2,2,2,3,1,14,1,4,182,0
9,3,10,1,4,4,0,2,1,8,0,14,1,9,203,0
13,3,9,1,3,2,0,3,2,2,0,19,2,8,204,0
4,3,31,0,4,2,1,4,2,6,1,17,2,1,257,1
21,1,23,1,4,2,2,3,1,3,1,20,1,8,176,0
10,3,15,1,3,4,2,2,1,6,0,14,2,8,176,0
1,1,16,1,3,5,4,5,2,2,1,23,2,3,148,1
7,3,24,1,3,4,1,3,2,3,0,12.8,6,1,299,0
1,1,17,0,4,5,4,5,2,8,1,21,2,1,149,1
7,1,20,0,3,4,4,2,2,5,0,19,2,3,160,0
19,1,7,0,4,4,4,2,1,5,0,15,1,3,148,0
24,1,7,1,4,4,1,2,1,11,0,13.8,1,4,299,0
7,1,7,0,3,2,2,4,0,3,1,14,1,3,180,0
15,1,16,1,4,4,5,3,1,4,0,18.4,2,12,319,0
1,1,23,0,3,4,4,4,0,11,0,15,3,3,153,0
19,1,30,1,3,4,2,5,0,3,1,16,2,9,161,0
21,3,11,0,3,4,2,2,2,3,1,18,2,8,167,0
1,1,29,0,3,4,4,3,0,6,1,12,1,2,146,1
24,1,31,1,4,4,1,3,0,5,1,19,6.6,6,265,0
12,1,17,1,4,4,4,3,0,2,0,18,1,3,152,0
20,1,14,1,4,4,0,3,1,8,0,14,1,8,233,0
1,1,24,0,3,5,2,3,1,3,0,16,3,3,169,0
1,1,21,1,3,5,4,4,1,3,1,25,2,3,162,1
5,1,7,0,4,4,2,5,0,3,0,13,2,4,166,0
1,1,12,1,4,4,3,2,2,3,0,16,2,1,136,0
28,1,24,0,3,4,0,3,0,10,0,12,2,9,232,0
9,1,32,0,3,4,0,3,1,3,1,12,3,7.8,229,0
4,1,15,0,4,2,0,5,0,2,1,13,1,8,239,0
1,1,18,0,4,5,4,5,2,3,1,16,1,1,151,1
1,1,12,0,3,4,4,4,2,2,0,18,1,3,149,1
1,1,9,1,3,2,2,2,0,3,0,13,2,4,180,0
1,1,15,1,4,6,4,5,0,3,0,16,2,2,150,0
22,1,13,1,4,5,2,3,2,4,0,14,1,3,167,0
22,1,11,1,4,5,0,3,2,9,0,15,2,9,235,0
15,1,14,0,3,4,2,3,2,8,0,15,2,2,175,0
13,1,7,0,4,5,1,2,0,3,0,17,1,9,252,0
1,1,9,0,3,4,2,2,0,2,0,19,1,3,167,0
9,1,17,1,3,4,4,2,1,3,0,21,2,3,164,0
16,3,12,1,3,4,5,3,0,8,0,14.6,1,1,308,0
24,1,16,1,4,4,4,2,0,6,0,19,2,1,149,0
31,1,9,0,4,5,1,2,2,5,1,14,1.8,4,262,0
1,1,18,0,4,6,2,4,0,7,0,16,2,1,173,1
29,1,25,1,4,4,2,4,0,5,1,15,7,8,189,0
15,1,14,0,3,6,5,3,1,3,0,23,2,11,325,0
12,3,10,1,3,4,2,2,2,10,1,13,2,1,194,0
1,3,36,1,4,6,2,5,2,10,0,19,1,3,175,1
16,3,9,0,3,6,5,2,0,3,0,16,6,10,323,1
18,3,35,0,3,2,1,2,0,5,1,19,2,12,258,0
24,3,7,0,4,4,2,3,0,2,0,13,2,14,188,0
1,1,23,0,3,2,4,5,2,3,0,17,16,15,152,1
13,1,29,0,3,4,0,5,2,3,1,14,2,9,234,0
7,3,15,0,3,5,4,2,2,2,0,20,3,3,148,0
19,3,18,0,3,4,1,2,0,5,0,13,2,2,302,0
6,1,36,0,4,4,4,3,2,11,0,13,6,8,165,0
8,3,7,1,4,2,2,2,1,2,0,12,2,11.4,222,0
31,3,7,1,4,4,0,2,0,5,1,15,1,5,244,0
19,2,31,1,3,4,4,4,2,3,0,17,1,5,147,0
27,3,9,0,3,5,0,4,0,4,0,13,1,13,200,0
1,1,22,1,3,4,2,3,1,9,0,15,1,1,173,1
1,1,9,1,3,4,4,5,0,8,1,15,2,3,145,1
8,3,17,0,3,4,4,3,0,3,1,20,1,1,147,0
2,3,17,1,4,4,4,4,0,3,0,23,2,1,136,0
12,1,10,1,3,4,4,3,0,5,0,17,3,3,153,0
24,1,9,1,4,4,5,3,0,4,1,17.4,8,8,317,0
11,1,10,0,3,4,2,4,2,5,0,16,2,2,166,0
14,3,33,1,4,4,2,5,0,3,0,15,6,6,209,0
1,1,7,0,4,5,4,3,1,3,0,14,2,4,145,0
20,1,7,1,3,4,5,2,1,11,0,14.4,2,3,321,0
28,3,9,0,3,5,0,3,0,8,0,12,7,1,232,0
30,1,16,0,4,4,4,3,0,4,0,20,1,4,154,0
10,1,19,0,3,5,0,2,2,2,0,12,6,7.8,214,0
29,1,9,1,3,5,1,5,2,9,0,13.4,4,3,293,0
17,3,32,1,4,5,0,2,1,7,0,14,2,1,259,0
1,3,16,0,3,4,4,2,2,3,1,15,1,3,148,1
1,1,17,0,3,5,4,5,2,3,0,14,2,1,139,1
20,1,15,0,4,5,2,5,1,10,1,24,2,8,171,0
15,1,11,1,3,4,4,3,0,11,1,13,2,8,150,1
1,1,31,1,4,5,0,5,2,3,0,13,1,7,212,1
1,1,7,1,3,5,4,5,0,3,0,17,1,4,165,0
4,1,27,1,3,4,2,5,0,2,0,16,2,7.8,225,0
15,1,14,0,3,2,4,3,0,3,0,14,2,9,159,0
12,1,24,0,4,5,0,3,0,2,0,19,1,7,213,0
14,1,27,1,4,4,0,2,0,6,0,21,5,5.6,228,0
1,1,15,1,3,6,4,3,0,3,0,20,2,3,171,0
29,1,9,1,4,4,0,4,0,5,0,19,2,3,235,0
2,1,17,0,3,4,2,3,2,5,0,14,2,8,162,0
8,2,7,1,4,5,0,5,0,11,0,15,3,7.2,230,1
7,1,12,1,3,5,0,2,1,6,0,16,1,3,196,0
1,3,11,1,3,4,0,5,2,2,1,23,4,6.8,221,1
1,1,36,0,3,5,2,3,2,3,0,23,4,9,170,1
2,1,22,1,3,4,4,3,1,3,0,17,3,3,147,0
8,1,10,1,3,4,2,2,2,2,0,18,2,5,203,0
11,3,17,0,3,5,2,2,1,4,1,15,1,1,192,0
1,1,11,1,3,4,4,2,0,3,1,16,6,7,162,1
1,1,28,1,3,4,4,3,1,3,0,21,2,1,149,1
1,1,32,1,3,5,4,4,2,6,1,21,1,3,148,1
16,1,9,1,3,4,1,5,0,2,0,15.2,6,8,302,0
1,1,5,1,3,5,4,4,1,3,0,16,1,1,151,1
14,3,7,1,3,4,2,3,2,5,1,15,1,1,172,1
7,3,14,0,2,4,2,4,0,2,0,18,2,3,168,0
8,1,10,1,3,5,4,2,0,5,0,18,2,1,155,0
22,1,7,1,3,2,1,2,2,4,0,14.2,1,2,294,0
19,3,16,0,4,5,2,3,0,3,0,14,1,13,181,0
26,1,14,1,3,4,0,4,2,9,0,20,4,4.6,229,0
12,3,17,1,4,5,0,3,1,2,1,15,3,6.4,212,0
3,1,35,0,4,4,4,2,1,6,0,23,1,8,150,0
2,1,10,0,4,4,0,4,1,2,0,18,1,8,202,0
20,3,10,1,3,4,1,3,0,5,0,12.8,2,10,300,0
12,3,9,1,3,4,0,4,2,9,0,17,2,1,199,0
17,1,34,0,3,4,0,5,0,10,0,12,1,2,233,0
3,1,9,1,3,4,1,2,1,9,0,12,8,6,247,1
14,1,21,1,3,5,5,3,2,3,0,18.8,5,10,321,0
1,1,7,0,4,5,4,4,2,3,1,12,1,3,146,0
13,1,16,1,4,4,2,4,2,22,0,16,2,4,193,0
10,1,25,1,4,4,2,2,2,4,0,21,2,10,203,0
5,3,27,1,4,2,4,2,0,2,0,13,2,3,153,0
2,1,9,1,4,5,4,4,0,2,0,18,1,5,157,0
9,3,18,1,3,4,2,2,1,3,0,12,1,3,175,0
23,3,15,1,3,5,1,4,0,8,0,18,2,4,256,0
8,1,9,1,4,4,2,3,2,4,0,12,2,3,165,0
3,1,17,0,4,4,4,4,1,2,0,15,2,2,158,0
16,1,36,1,3,6,2,2,2,6,0,20,2,1,168,0
3,1,15,1,4,5,2,2,0,3,1,14,1,3,176,0
12,2,7,1,3,2,4,3,0,3,0,14,2,1,153,0
5,1,13,1,3,5,4,3,1,3,1,15,2,3,152,0
1,1,15,1,4,4,4,3,2,3,0,13,1,1,144,1
1,3,16,0,4,4,2,5,2,2,1,18,1,4,207,1
15,1,19,1,3,4,4,2,0,5,1,12,2,1,173,0
1,1,22,1,4,4,4,3,0,3,0,13,3,3,151,1
11,1,32,0,3,5,2,2,1,9,0,14,1,4,182,0
1,1,13,1,3,5,4,3,0,3,0,14,3,3,150,0
8,3,16,0,4,4,2,3,0,3,0,21,2,4,182,0
9,2,15,1,4,4,4,3,2,3,0,18,1,5,168,0
1,3,30,0,3,5,0,5,0,3,0,14,1,11,198,1
14,1,16,0,3,4,0,3,2,11,0,18,1,14,260,0
6,3,19,1,3,4,1,5,2,2,1,13,2.8,15,263,1
16,3,11,1,3,4,2,5,2,9,0,14,2,6,177,0
9,1,7,1,3,5,4,3,0,8,0,13,2,8,148,0
1,1,31,1,3,4,4,4,2,10,0,23,2,3,161,0
1,1,19,0,4,4,4,2,0,3,1,12,2,1,150,1
1,1,10,1,3,2,4,2,0,3,0,23,2,8,169,0
4,3,17,1,4,5,2,3,0,3,0,19,2,5,191,0
14,1,33,0,4,5,2,2,0,5,1,14,2,1,169,0
9,1,9,1,3,5,0,4,1,4,0,19,7,13.2,228,0
8,1,7,1,4,5,2,5,2,2,0,21,2,10,178,0
9,1,11,1,3,5,4,2,0,3,0,14,3,3,149,0
7,3,16,0,3,6,2,3,2,10,0,14,2,4,178,1
6,3,9,0,4,4,4,5,1,3,0,13,1,1,153,0
30,1,11,0,4,4,5,5,1,6,0,14,1,3,324,0
3,1,13,0,3,4,4,2,0,3,0,14,1,9,156,0
1,1,16,1,3,4,4,5,2,3,0,26,1,1,151,0
19,1,14,0,3,4,4,3,0,6,1,20,2,3,170,0
11,1,7,0,3,5,2,2,0,3,0,14,4,12,190,0
1,1,10,1,3,5,4,3,2,3,0,13,1,3,155,0
8,1,17,1,4,4,4,3,2,3,1,12,2,3,154,1
27,1,14,0,3,4,5,3,1,5,0,19.2,5,8,311,0
3,1,22,0,4,6,4,2,0,2,1,19,2,4,147,0
1,1,10,1,3,5,4,2,0,2,1,12,1,1,154,1
20,3,9,0,4,4,1,5,0,10,0,15.8,13,10,295,0
18,1,24,1,4,6,4,3,2,4,0,14,2,1,148,0
7,2,9,1,3,4,4,3,0,3,0,14,1,5,161,0
5,1,12,1,4,5,4,5,1,8,0,18,2,1,146,1
4,3,36,1,4,4,2,5,1,10,0,20,2,4,166,0
14,3,9,1,4,4,2,4,0,7,0,13,2,1,168,0
24,1,9,0,2,4,1,5,0,4,0,14.2,3,3,304,0
2,1,26,1,4,5,4,5,0,3,0,13,2,4,157,0
20,1,22,1,3,4,5,4,0,7,0,16.6,2,4,316,0
9,3,24,1,4,4,2,5,0,5,1,16,2,8.4,215,0
1,1,24,0,4,4,4,4,0,3,0,14,1,1,147,1
7,3,32,0,3,4,2,3,0,3,0,13,1,2,170,0
10,1,13,1,3,6,4,3,1,3,0,15,1,8,152,0
4,1,14,1,3,4,2,3,1,3,0,14,9,10,160,0
18,1,36,1,3,4,2,2,2,3,0,26,2,18,170,0
1,3,28,1,3,2,4,2,2,3,0,18,1,3,152,0
20,1,9,1,3,4,2,2,1,4,0,12,2,5,199,0
16,2,9,1,4,2,2,5,0,9,0,17,1,4,188,0
31,3,14,1,3,2,2,2,1,2,1,19,1,10,177,0
6,1,20,0,4,5,4,4,0,3,0,21,1,3,152,0
6,1,9,0,3,4,2,3,2,6,1,15,2,8,175,0
10,1,7,0,4,6,0,5,1,4,1,22,6,10,228,0
7,1,16,1,3,4,4,2,0,2,0,14,2,11,153,0
14,3,17,0,3,5,2,4,1,9,0,13,2,4,194,0
1,3,17,1,3,4,2,2,2,2,0,15,1,2,175,0
4,1,7,1,4,4,4,4,0,2,1,22,2,8,161,0
16,1,33,0,3,4,0,5,0,5,1,18,1,1,257,0
9,3,15,0,4,5,0,2,0,6,1,12,3,11.8,229,0
1,1,21,1,3,4,4,5,0,3,1,15,3,9,147,0
28,1,7,0,3,4,0,3,1,9,0,18,2,2.2,230,0
18,1,9,0,4,2,4,2,0,3,0,14,7,8,145,0
1,1,17,0,4,5,4,4,2,3,1,26,2,1,144,1
3,1,7,0,4,4,4,2,1,3,0,16,1,3,163,0
28,1,10,1,3,4,1,2,0,5,0,13.4,2,10,303,0
5,1,18,1,4,4,2,5,0,3,1,13,1,2,193,0
5,1,31,0,4,5,2,5,2,3,0,20,1,9,193,0
31,3,10,0,3,5,2,2,2,7,0,18,1,6,177,0
17,1,10,1,4,6,5,2,0,5,0,16.6,2,8,322,0
23,1,11,1,3,5,5,3,0,4,0,14.8,1,1,312,0
10,1,10,1,3,4,4,4,0,3,0,13,2,8,162,0
22,1,9,1,4,2,4,4,2,7,0,12,1,1,151,0
1,1,11,1,4,4,4,3,1,3,0,12,2,4,150,0
3,1,14,1,3,4,2,2,1,3,1,12,1,1,191,0
22,1,7,1,4,5,5,2,2,8,0,14.2,2,1,308,0
3,1,7,0,3,5,1,2,1,5,0,15,0.8,8,286,0
8,1,27,0,3,2,4,3,0,2,0,18,2,1,151,0
18,3,12,1,3,4,5,4,0,9,0,14,2,11,307,0
7,3,17,1,3,2,0,3,1,2,1,15,2,9,209,0
1,1,32,0,3,2,4,2,2,3,1,13,2,2,155,0
1,1,7,1,3,4,4,3,0,3,0,23,1,2,137,0
1,3,31,1,4,6,4,2,2,3,1,15,2,1,136,1
1,1,11,1,3,4,4,2,2,3,1,21,1,3,154,0
9,3,9,0,4,6,5,4,2,4,1,18.4,1,12,313,1
29,1,15,1,3,5,1,4,1,3,1,16,4,1,261,0
1,1,17,0,3,5,4,3,2,3,0,21,3,3,151,1
20,3,11,0,3,5,5,4,0,4,0,16.6,2,9,313,0
8,3,9,0,3,4,2,5,2,2,1,13,2,3,170,0
25,3,16,1,3,4,5,4,1,6,1,25,3,11,323,0
31,1,25,1,4,4,0,2,2,8,0,13,2,6.6,230,0
8,1,26,0,3,4,2,4,1,6,0,14,4,11,169,0
2,1,7,1,3,4,4,3,2,2,1,12,1,3,147,0
18,1,11,1,4,2,5,5,1,3,0,19.4,2,14,317,0
8,2,18,1,3,5,2,4,0,6,0,12,1,9,170,0
9,1,13,1,4,4,4,3,0,2,1,15,2,3,160,0
16,1,14,0,4,2,2,4,0,8,1,17,1,1,149,0
17,3,11,0,3,5,0,2,2,5,0,15,11,7.6,227,0
10,1,9,0,3,4,2,4,2,11,1,12,5,13,179,0
8,1,22,0,4,4,0,2,0,3,0,12,1,6,205,1
2,1,9,1,3,5,4,2,0,3,1,13,3,3,164,0
25,1,13,0,3,5,4,3,2,2,0,15,8,8,153,0
4,1,16,0,4,4,2,3,2,9,1,19,2,8,172,0
1,1,14,0,3,4,4,3,1,5,1,14,2,8,158,1
2,1,7,1,3,4,4,5,2,4,0,12,1,3,146,0
1,1,7,0,3,4,4,4,2,3,0,19,2,2,146,0
6,3,15,1,3,2,2,2,0,3,0,16,1,9,187,0
19,1,32,0,3,4,5,4,2,5,0,13.8,2,1,306,0
13,1,20,0,4,5,1,4,1,8,1,17.2,14,3,296,0
31,1,30,1,3,4,4,3,1,3,0,13,3,3,149,0
1,1,14,1,4,4,2,3,0,3,0,19,2,2,174,1
3,1,30,1,4,4,4,5,2,2,0,14,1,4,164,1
4,1,13,0,3,5,2,2,0,2,0,13,6,8,171,0
10,1,17,0,4,4,0,3,0,5,0,13,1,8,196,0
20,2,7,0,3,4,4,5,2,8,0,13,4,8,159,0
2,1,7,0,3,6,2,2,0,2,0,12,8,6,192,0
24,1,35,0,3,4,1,5,0,6,1,13.8,1,3,294,0
4,3,32,1,3,5,0,4,2,4,1,13,1,6.8,216,1
16,3,12,1,4,4,0,4,2,11,1,20,6,6,209,1
4,1,24,0,4,4,0,5,0,3,1,24,1,9,244,0
13,1,25,1,3,4,2,3,2,2,0,12,1,8,170,0
5,3,9,0,3,4,0,3,1,3,1,20,4,13,224,0
15,3,17,1,3,6,2,4,2,3,0,14,4,10,187,0
1,3,7,0,3,4,4,4,2,3,1,12,2,3,148,1
8,1,10,1,3,4,4,5,0,6,0,13,2,3,149,1
16,1,9,1,3,4,1,3,0,2,1,13.2,1,11,304,0
29,1,9,0,3,6,5,3,0,6,0,18.8,6,12,317,0
30,2,15,1,3,4,5,4,2,8,0,17,2,8,322,0
14,1,23,1,4,4,4,3,1,11,0,17,2,1,160,0
8,1,16,1,3,4,0,2,1,2,0,12,2,10.8,210,0
14,1,9,1,4,4,2,2,2,3,0,14,4,9,172,0
15,3,7,0,4,4,2,5,1,2,0,18,1,8,166,0
9,1,11,1,3,4,2,3,2,3,1,12,2,2,167,0
25,2,12,1,3,4,1,4,1,3,1,12,1.8,11,265,0
12,3,9,0,3,4,2,5,1,5,0,16,1,8,194,0
8,3,22,0,4,4,2,5,2,3,0,13,2,7,186,0
1,1,26,1,4,4,4,2,0,5,0,12,2,3,162,0
21,1,14,0,3,5,0,5,0,9,1,15,5,4.4,225,1
14,1,7,1,3,4,4,4,0,5,0,23,2,4,149,0
10,3,14,0,3,2,2,5,0,4,0,17,6,14,171,0
22,1,11,1,3,4,0,2,2,3,0,12,2,9,204,0
1,3,18,0,4,2,4,2,0,10,0,15,2,1,150,0
25,1,18,0,3,5,1,4,2,5,0,17,1,4,256,0
1,1,7,0,4,4,4,2,2,3,0,16,2,1,141,0
9,1,7,0,3,5,2,2,0,2,0,13,2,1,179,0
1,3,9,1,3,6,2,2,2,5,0,21,2,1,176,0
19,3,20,1,3,2,1,3,2,8,1,18,0.8,9,262,1
30,1,30,1,4,4,1,4,0,6,1,13,12,10,259,0
8,1,33,0,4,5,4,3,1,3,0,21,2,1,145,0
14,1,9,0,3,2,2,3,1,7,0,21,6,9,189,0
8,1,36,1,3,4,2,3,0,6,0,14,1,8,179,0
1,3,9,0,3,5,4,2,2,9,0,15,1,1,153,1
1,3,25,0,4,4,2,3,0,2,1,19,4,3,171,1
12,1,14,1,3,2,4,3,1,3,0,12,1,4,151,0
8,1,9,0,4,4,2,2,2,3,0,12,2,12,192,0
2,3,33,1,3,5,2,5,0,3,0,12,2,5,172,0
1,1,29,1,4,4,2,3,0,3,1,16,4,8,187,1
13,3,28,1,3,5,2,2,0,5,1,13,1,5,186,0
25,3,9,1,3,4,0,4,0,4,0,12,1,4.8,231,0
15,1,29,0,4,4,2,2,1,5,1,15,1,4,180,0
11,1,11,1,3,4,4,3,0,9,1,16,2,4,155,0
7,3,12,1,4,4,2,2,0,8,0,14,2,11,225,0
6,3,9,1,3,4,2,4,0,2,1,14,1,3,166,0
13,1,32,1,4,4,0,3,0,5,0,22,1,6,234,0
1,3,25,1,4,2,2,3,0,4,0,12,1,3,187,0
26,1,35,0,3,2,1,3,0,4,1,12,1,3,257,0
17,1,13,0,4,5,2,3,2,3,1,15,2,9,166,0
1,3,17,0,4,5,2,2,0,3,1,12,3,5,183,0
1,1,24,0,3,4,4,3,2,3,1,14,4,8,149,1
1,1,9,1,3,5,4,2,2,2,0,13,1,2,164,0
16,2,17,0,3,4,1,5,0,2,0,15,1,10,293,0
26,1,15,0,3,4,4,5,0,11,0,14,2,5,155,0
11,1,18,0,4,4,4,3,2,6,0,19,1,3,161,0
9,1,25,1,3,4,0,2,2,4,0,12,1,8.4,219,0
1,1,7,1,3,4,4,2,0,6,0,12,2,3,157,0
1,1,14,1,4,2,4,5,2,2,0,13,2,8,161,0
3,2,24,1,3,5,0,5,2,3,0,14,1,10,205,0
1,1,35,1,4,5,2,5,2,5,0,21,1,4,168,1
1,1,21,0,3,4,0,2,2,2,1,13,3,8,201,1
28,1,7,0,3,4,1,2,2,8,0,16.4,6,8,298,0
31,1,7,0,4,4,5,5,0,5,1,14.2,2,6,322,0
29,1,7,1,3,2,1,2,1,4,0,14,1.2,1,272,0
10,3,10,0,3,4,2,4,2,5,1,17,1,6.6,218,0
1,3,7,0,3,6,4,3,2,3,0,13,2,1,139,1
4,3,14,0,4,4,2,5,1,9,0,15,2,3,173,0
5,1,15,0,4,4,1,4,2,5,0,12,1,1,289,0
8,1,7,1,4,4,4,5,1,7,0,15,2,4,155,0
1,1,15,0,3,5,4,4,2,3,0,13,1,1,138,1
1,1,18,1,4,4,4,5,0,2,0,15,2,5,146,0
10,1,11,1,3,5,2,2,2,3,0,17,2,9,183,0
10,3,23,0,4,5,2,5,0,6,0,14,2,3,181,0
21,1,7,1,4,4,4,2,0,9,0,13,2,3,159,0
1,3,16,1,4,5,4,5,0,5,0,13,2,3,169,1
11,1,12,1,3,2,4,3,2,2,0,15,2,4,160,0
30,1,7,0,3,4,4,5,0,4,0,23,2,1,146,0
21,1,9,0,3,4,1,3,0,5,0,14,4,7,297,0
1,3,11,0,3,4,2,3,0,3,1,13,2,4,167,0
6,3,14,1,4,4,2,2,0,6,0,13,2,9,217,0
8,1,7,0,3,5,4,4,0,7,0,18,2,3,158,0
15,1,12,1,3,2,4,3,0,4,1,13,2,4,146,0
14,1,16,1,3,4,2,3,1,5,0,12,2,8,165,0
5,3,15,1,3,4,0,2,1,3,0,19,3,10,233,0
10,3,16,1,3,4,0,1,1,6,0,12,1,8.6,226,1
3,1,9,0,3,5,4,5,2,4,1,24,1,1,161,1
1,1,7,0,4,2,0,4,2,3,0,12,4,8,199,1
19,1,27,1,4,6,0,5,1,4,1,19,1,8,234,0
5,2,15,0,4,2,4,4,2,11,0,19,1,3,146,0
1,1,9,1,4,4,4,1,0,8,1,14,3,3,162,1
19,1,36,1,3,4,0,1,0,6,1,19,2,2.4,219,0
22,3,14,1,4,4,2,5,1,6,0,12,2,3,180,0
1,2,16,0,3,4,4,3,0,3,0,16,2,3,152,1
14,1,15,1,3,5,0,4,1,4,0,12,3.2,9,263,0
2,3,12,1,3,4,2,5,2,2,0,19,2,4.4,210,0
18,1,12,1,3,5,4,3,2,5,0,15,1,4,157,0
27,1,9,1,3,2,1,4,2,6,0,13,5.4,9,291,0
23,1,12,1,4,4,2,3,0,4,0,15,1,3,192,0
14,1,9,1,4,4,4,3,1,4,0,15,1,3,148,0
18,1,27,1,3,4,4,4,2,3,0,14,2,4,159,0
7,3,14,1,3,4,2,5,0,2,0,15,1,4,169,0
8,3,10,1,3,6,2,5,2,5,0,19,3,13,173,0
4,3,23,1,4,4,2,3,0,10,0,16,1,3,178,0
16,1,16,0,4,4,4,1,2,3,0,14,5,9,162,0
18,3,7,0,4,4,2,3,0,9,0,13,2,1,173,0
4,1,14,1,4,4,4,3,1,3,0,14,1,1,138,0
51,1,7,1,4,2,2,3,0,2,0,25,2,9,174,0
23,1,14,1,3,4,0,4,1,5,0,15,1,4.4,230,0
8,1,22,1,4,4,1,5,1,9,0,19.6,3,10,295,0
1,3,7,1,4,4,4,3,0,5,0,16,2,3,154,1
1,3,20,0,3,4,2,4,2,7,0,12,1,1,183,1
1,3,31,0,3,5,2,4,2,2,1,24,3,11,171,1
9,3,14,1,4,4,4,3,0,3,0,14,2,1,149,0
1,1,16,1,3,4,4,5,2,4,1,12,1,1,157,1
1,3,20,0,4,4,4,4,0,3,0,14,1,1,145,0
18,1,9,1,3,4,0,3,2,7,1,19,1,5.8,227,0
3,3,26,1,4,5,2,3,1,3,0,15,2,5.8,211,0
4,2,7,1,3,4,4,3,1,2,0,22,1,4,146,0
